,orid,status
278,20180705H180012,correct
279,20180705H180013,correct
280,20180705H180014,correct
281,20180705H180016,false
282,20180705H180017,review
283,20180705H180019,false
284,20180705H180021,false
285,20180705H180047,false
286,20180705H180050,false
287,20180705H180266,false
288,20180705H190000,correct
289,20180705H190001,correct
290,20180705H190002,correct
291,20180705H190003,correct
292,20180705H190004,correct
293,20180705H190005,correct
294,20180705H190006,correct
295,20180705H190007,correct
296,20180705H190008,correct
297,20180705H190009,review
298,20180705H190010,review
299,20180705H190012,correct
300,20180705H190013,review
301,20180705H190014,review
302,20180705H190015,correct
303,20180705H190016,review
304,20180705H190018,false
305,20180705H190020,correct
306,20180705H190021,false
307,20180705H190022,correct
308,20180705H190023,false
309,20180705H190024,false
310,20180705H190025,false
311,20180705H190026,review
312,20180705H190032,false
313,20180705H190036,false
314,20180705H190053,false
315,20180705H190060,false
316,20180705H200000,correct
317,20180705H200001,correct
318,20180705H200002,correct
319,20180705H200003,correct
320,20180705H200004,correct
321,20180705H200005,correct
322,20180705H200007,review
323,20180705H200028,false
324,20180705H210000,correct
325,20180705H210001,correct
326,20180705H210002,correct
327,20180705H210003,correct
328,20180705H210004,review
329,20180705H210007,false
330,20180705H210040,false
331,20180705H220010,false
332,20180705H220029,false
333,20180705H230000,review
334,20180705H230011,false
335,20180705H230025,false
336,20180705H230046,false
337,20180706H010014,false
338,20180706H030000,review
339,20180706H040000,correct
340,20180706H040001,false
341,20180706H050017,false
342,20180706H050039,false
343,20180706H050159,false
344,20180706H060001,correct
345,20180706H060002,correct
346,20180706H060004,review
347,20180706H060005,false
348,20180706H060012,false
349,20180706H070000,correct
350,20180706H070001,correct
351,20180706H070002,correct
352,20180706H070003,review
353,20180706H070004,review
354,20180706H070005,correct
355,20180706H070006,false
356,20180706H070008,review
357,20180706H070009,false
358,20180706H080000,correct
359,20180706H080001,correct
360,20180706H080002,correct
361,20180706H080003,correct
362,20180706H080004,review
363,20180706H080005,review
364,20180706H080006,review
365,20180706H080007,review
366,20180706H080008,false
367,20180706H080009,false
368,20180706H080011,false
369,20180706H080012,false
370,20180706H080013,false
371,20180706H090000,correct
372,20180706H090001,correct
373,20180706H090002,correct
374,20180706H090005,correct
375,20180706H090006,correct
376,20180706H090007,correct
377,20180706H090008,review
378,20180706H090009,review
379,20180706H090010,false
380,20180706H090011,review
381,20180706H090012,review
382,20180706H090014,false
383,20180706H090015,false
384,20180706H090016,correct
385,20180706H090020,false
386,20180706H090024,false
387,20180706H090030,false
388,20180706H090103,false
389,20180706H090161,false
390,20180706H100000,false
391,20180706H100001,correct
392,20180706H100002,correct
393,20180706H100003,correct
394,20180706H100004,correct
395,20180706H100005,correct
396,20180706H100008,review
397,20180706H100011,false
398,20180706H100015,false
399,20180706H100018,review
400,20180706H100021,false
401,20180706H100023,false
402,20180706H100027,false
403,20180706H110000,correct
404,20180706H110001,correct
405,20180706H110002,correct
406,20180706H110003,review
407,20180706H110005,correct
408,20180706H110007,correct
409,20180706H110008,false
410,20180706H110013,false
411,20180706H110017,false
412,20180706H110029,false
413,20180706H110037,false
414,20180706H120000,correct
415,20180706H120002,correct
416,20180706H120003,correct
417,20180706H130000,correct
418,20180706H130001,correct
419,20180706H130003,review
420,20180706H130005,correct
421,20180706H140000,correct
422,20180706H140001,correct
423,20180706H150000,correct
424,20180706H150168,false
425,20180706H160000,correct
426,20180706H160001,correct
427,20180706H160002,correct
428,20180706H160008,false
429,20180706H170000,correct
430,20180706H170001,review
431,20180706H180000,correct
432,20180706H180001,correct
433,20180706H180002,false
434,20180706H190000,correct
435,20180706H190001,review
436,20180706H190002,false
437,20180706H190003,review
438,20180706H190004,false
439,20180706H190005,correct
440,20180706H190181,false
441,20180706H200000,correct
442,20180706H200022,false
443,20180706H210000,correct
444,20180706H210003,false
445,20180707H000000,correct
446,20180707H010089,false
447,20180707H030000,correct
448,20180707H030002,false
449,20180707H060000,correct
450,20180707H060122,false
451,20180707H110014,false
452,20180707H160000,correct
453,20180707H160001,correct
454,20180707H160002,correct
455,20180707H160003,correct
456,20180707H160004,false
457,20180707H160005,review
458,20180707H160008,false
459,20180707H160009,review
460,20180707H160010,false
461,20180707H160013,false
462,20180707H160016,false
463,20180707H160026,false
464,20180707H170001,correct
465,20180707H170002,correct
466,20180707H170003,correct
467,20180707H170004,correct
468,20180707H170005,correct
469,20180707H170007,correct
470,20180707H170008,correct
471,20180707H170011,review
472,20180707H170012,review
473,20180707H170013,false
474,20180707H170018,false
475,20180707H180000,correct
476,20180707H180001,correct
477,20180707H180002,correct
478,20180707H180003,correct
479,20180707H180004,review
480,20180707H180005,review
481,20180707H180007,false
482,20180707H180256,false
483,20180707H190000,correct
484,20180707H190001,correct
485,20180707H190002,correct
486,20180707H190007,review
487,20180707H190009,review
488,20180707H190022,false
489,20180707H190031,false
490,20180707H200002,correct
491,20180707H200003,false
492,20180707H200005,review
493,20180707H210000,correct
494,20180707H210001,correct
495,20180707H210002,correct
496,20180707H210003,correct
497,20180707H210004,correct
498,20180707H210005,correct
499,20180707H210006,correct
500,20180707H210007,correct
501,20180707H210008,correct
502,20180707H210009,correct
503,20180707H210010,review
504,20180707H210013,false
505,20180707H210017,false
506,20180707H210048,false
507,20180707H220000,correct
508,20180707H220003,correct
509,20180707H220004,correct
510,20180707H220005,correct
511,20180707H220006,correct
512,20180707H220007,correct
513,20180707H220008,correct
514,20180707H220009,correct
515,20180707H220011,correct
516,20180707H220012,review
517,20180707H230000,correct
518,20180707H230001,correct
519,20180707H230003,correct
520,20180708H000000,correct
521,20180708H000305,false
522,20180708H010000,correct
523,20180708H010001,review
524,20180708H010017,false
525,20180708H030000,correct
526,20180708H030001,correct
527,20180708H030002,correct
528,20180708H030003,correct
529,20180708H030005,correct
530,20180708H030006,review
531,20180708H030009,correct
532,20180708H040000,correct
533,20180708H050001,review
534,20180708H050002,correct
535,20180708H060000,correct
536,20180708H070000,correct
537,20180708H090000,correct
538,20180708H090001,correct
539,20180708H090002,correct
540,20180708H090003,review
541,20180708H100000,correct
542,20180708H100001,correct
543,20180708H120000,correct
544,20180708H130000,correct
545,20180708H140000,correct
546,20180708H140002,review
547,20180708H140004,review
548,20180708H140052,false
549,20180708H150000,correct
550,20180708H150001,correct
551,20180708H150003,correct
552,20180708H150004,correct
553,20180708H150005,correct
554,20180708H150006,correct
555,20180708H150007,correct
556,20180708H150008,correct
557,20180708H150009,correct
558,20180708H150010,correct
559,20180708H150011,review
560,20180708H150012,correct
561,20180708H150015,correct
562,20180708H150016,review
563,20180708H150017,correct
564,20180708H150019,false
565,20180708H150021,correct
566,20180708H150035,false
567,20180708H150044,false
568,20180708H160000,correct
569,20180708H160001,correct
570,20180708H160003,correct
571,20180708H160004,correct
572,20180708H160005,correct
573,20180708H160006,correct
574,20180708H160009,review
575,20180708H160010,correct
576,20180708H160011,correct
577,20180708H160012,correct
578,20180708H160013,correct
579,20180708H160014,review
580,20180708H160016,review
581,20180708H160017,review
582,20180708H170000,correct
583,20180708H170001,correct
584,20180708H170008,false
585,20180708H170011,false
586,20180708H190000,correct
587,20180708H190001,review
588,20180708H190002,correct
589,20180708H210000,correct
590,20180708H210001,review
591,20180708H220000,correct
592,20180709H010049,false
593,20180709H010053,false
594,20180709H010223,false
595,20180709H010240,false
596,20180709H020000,review
597,20180709H020061,false
598,20180709H030000,correct
599,20180709H030001,false
600,20180709H030002,false
601,20180709H030004,review
602,20180709H050037,false
603,20180709H050041,false
604,20180709H050044,false
605,20180709H060163,false
606,20180709H060359,false
607,20180709H070000,false
608,20180709H170000,review
609,20180709H170003,review
610,20180709H190000,correct
611,20180709H220000,correct
612,20180709H220002,false
613,20180710H000000,correct
614,20180710H000001,correct
615,20180710H000003,false
616,20180710H010000,correct
617,20180710H010001,correct
618,20180710H010002,false
619,20180710H010003,review
620,20180710H010005,false
621,20180710H130002,correct
622,20180710H130003,correct
623,20180710H140000,correct
624,20180710H140001,correct
625,20180710H140002,correct
626,20180710H140003,correct
627,20180710H140004,correct
628,20180710H140005,false
629,20180710H140006,false
630,20180710H140007,false
631,20180710H140008,review
632,20180710H140009,false
633,20180710H140010,false
634,20180710H140012,false
635,20180710H140015,review
636,20180710H140021,false
637,20180710H150000,correct
638,20180710H150001,correct
639,20180710H150002,false
640,20180710H150003,false
641,20180710H160000,correct
642,20180710H160006,review
643,20180710H160010,review
644,20180710H160012,review
645,20180710H160013,review
646,20180710H170000,correct
647,20180710H170001,correct
648,20180710H170002,correct
649,20180710H170003,correct
650,20180710H170004,false
651,20180710H170005,review
652,20180710H180000,correct
653,20180710H180001,review
654,20180710H180002,correct
655,20180710H180003,false
656,20180710H180024,false
657,20180710H180262,false
658,20180710H190000,correct
659,20180710H190001,correct
660,20180710H200001,correct
661,20180710H200002,correct
662,20180710H200003,correct
663,20180710H220000,correct
664,20180710H220001,false
665,20180710H230000,correct
666,20180711H000186,false
667,20180711H010303,false
668,20180711H020000,correct
669,20180711H050155,false
670,20180711H080000,correct
671,20180711H090000,false
672,20180711H100165,false
673,20180711H120005,false
674,20180711H150000,correct
675,20180711H160000,correct
676,20180711H160001,correct
677,20180711H170001,correct
678,20180711H180027,false
679,20180711H190000,correct
680,20180711H190001,correct
681,20180711H190002,false
682,20180711H200000,correct
683,20180711H210000,false
684,20180711H230000,review
685,20180711H230001,false
686,20180711H230002,false
687,20180712H020000,correct
688,20180712H020001,review
689,20180712H030000,correct
690,20180712H030002,correct
691,20180712H030003,correct
692,20180712H030034,false
693,20180712H040000,correct
694,20180712H040001,correct
695,20180712H040002,correct
696,20180712H040003,correct
697,20180712H040004,review
698,20180712H040005,review
699,20180712H040006,false
700,20180712H040007,false
701,20180712H040008,false
702,20180712H040009,review
703,20180712H050000,review
704,20180712H060000,correct
705,20180712H060203,false
706,20180712H080000,correct
707,20180712H080001,false
708,20180712H140105,false
709,20180712H140161,false
710,20180712H140264,false
711,20180712H160000,correct
712,20180712H190000,correct
713,20180712H190001,correct
714,20180712H190002,correct
715,20180712H190003,false
716,20180712H190009,false
717,20180712H200000,correct
718,20180712H200001,correct
719,20180712H200002,false
720,20180712H200048,false
721,20180712H210000,correct
722,20180712H210059,false
723,20180712H220000,review
724,20180712H220369,false
725,20180712H230000,correct
726,20180712H230001,false
727,20180713H040136,false
728,20180713H040140,false
729,20180713H050138,false
730,20180713H070000,correct
731,20180713H070001,correct
732,20180713H070154,false
733,20180713H100153,false
734,20180713H100168,false
735,20180713H100298,false
736,20180713H100471,false
737,20180713H130105,false
738,20180713H150011,false
739,20180713H170025,false
740,20180713H170072,false
741,20180713H180000,false
742,20180713H180012,false
743,20180713H190000,correct
744,20180714H020000,review
745,20180714H040000,correct
746,20180714H060000,correct
747,20180714H090001,false
748,20180714H100000,review
749,20180714H120000,false
750,20180714H180124,false
751,20180714H190000,correct
752,20180714H200033,false
753,20180714H230013,false
754,20180715H000020,false
755,20180715H010157,false
756,20180715H050481,false
757,20180715H060013,false
758,20180715H140000,false
759,20180715H140001,false
760,20180715H150000,review
761,20180715H150001,review
762,20180715H150002,false
763,20180715H180040,false
764,20180715H180142,false
765,20180716H000088,false
766,20180716H010208,false
767,20180716H010349,false
768,20180716H050202,false
769,20180716H100288,false
770,20180716H130021,false
771,20180716H220015,false
772,20180717H080000,false
773,20180717H180000,false
774,20180717H230000,review
775,20180717H230001,false
776,20180717H230003,review
777,20180718H050048,false
778,20180718H060000,false
779,20180718H060001,false
780,20180718H070006,false
781,20180718H090000,false
782,20180718H090002,false
783,20180718H100000,correct
784,20180718H100001,review
785,20180718H100002,review
786,20180718H100004,false
787,20180718H100005,false
788,20180718H100032,review
789,20180718H100048,false
790,20180718H110000,correct
791,20180718H110001,review
792,20180718H110002,review
793,20180718H110005,false
794,20180718H120000,false
795,20180718H140000,false
796,20180718H160000,false
797,20180719H040000,false
798,20180719H100000,false
799,20180719H110052,false
800,20180719H110071,false
801,20180719H140001,review
802,20180719H200070,false
803,20180720H060053,false
804,20180720H060056,false
805,20180720H100000,review
806,20180720H100001,false
807,20180720H100002,false
808,20180720H100003,false
809,20180720H150004,false
810,20180720H150017,false
811,20180721H010000,false
812,20180721H010001,false
813,20180721H050037,false
814,20180722H020085,false
815,20180722H130040,false
816,20180722H130047,false
817,20180723H100000,false
818,20180723H120000,false
819,20180723H160071,false
820,20180724H040000,review
821,20180724H040002,false
822,20180724H100000,review
823,20180724H120020,false
824,20180724H160000,false
825,20180724H170020,false
826,20180724H190000,false
827,20180724H200005,false
828,20180724H210000,false
829,20180725H000017,false
830,20180725H020010,false
831,20180725H020047,false
832,20180725H060032,false
833,20180725H110000,false
834,20180725H110001,false
835,20180725H110002,false
836,20180725H120000,review
837,20180725H120001,false
838,20180725H120022,false
839,20180725H120081,false
840,20180725H120146,false
841,20180725H150085,false
842,20180725H200016,false
843,20180725H200129,false
844,20180725H210094,false
845,20180725H210403,false
846,20180725H230116,false
847,20180726H000013,false
848,20180726H000168,false
849,20180726H020057,false
850,20180726H020579,false
851,20180726H020641,false
852,20180726H050069,false
853,20180726H050092,false
854,20180726H100004,false
855,20180726H100151,false
856,20180726H100169,false
857,20180726H110000,correct
858,20180726H110001,review
859,20180726H220000,false
860,20180727H060083,false
861,20180727H100009,false
862,20180727H100146,false
863,20180727H110402,false
864,20180727H170041,false
865,20180727H170048,false
866,20180728H000120,false
867,20180728H030236,false
868,20180728H180097,false
869,20180728H190006,false
870,20180729H000002,false
871,20180729H060000,false
872,20180729H060019,false
873,20180729H060264,false
874,20180729H080001,false
875,20180729H080091,false
876,20180729H080119,false
877,20180729H080212,false
878,20180729H100026,false
879,20180729H110000,review
